,Character_1,Character_2,Win_Probability
441,6810,11422,-1
442,11422,8931,1
443,9313,8725,-1
444,3598,1054,1
445,5390,7637,-1
446,1276,619,1
447,3440,3987,1
448,7953,11769,1
449,8906,6246,-1
450,2286,185,-1
451,5512,8061,-1
452,7677,11403,1
453,1008,2152,1
454,5989,4349,1
455,1276,3987,-1
456,10242,8949,1
457,11422,1281,-1
458,2617,10252,-1
459,8906,9693,0
460,10590,4005,1
461,1553,2198,1
462,5047,7180,1
463,3493,4349,-1
464,12038,11670,-1
465,8243,2532,1
466,909,6415,-1
467,974,4693,-1
468,3598,7792,-1
469,4100,1276,-1
470,280,5637,1
471,6409,2983,-1
472,8699,5866,-1
473,9693,11518,-1
474,6245,157,1
475,3363,11087,1
476,3209,2771,1
477,6810,9349,-1
478,11422,10590,1
479,974,7457,-1
480,981,974,1
481,1741,9042,-1
482,2065,4094,1
483,1238,6394,1
484,909,9595,1
485,2065,9595,-1
486,6502,7677,-1
487,1713,90,0
488,8536,974,1
489,1292,9522,-1
490,5579,1741,-1
491,11422,9522,-1
492,909,6145,0
493,1711,11827,1
494,6827,1280,1
495,3670,4076,1
496,981,869,-1
497,886,3435,-1
498,5090,8084,1
499,3271,2700,-1
500,10054,4058,1
501,779,1561,-1
502,7836,4314,1
503,4991,6394,-1
504,5637,11403,-1
505,1503,11456,1
506,8944,313,1
507,9935,11456,-1
508,31,6793,-1
509,3209,2624,1
510,9776,4785,0
511,264,5579,0
512,5637,11518,1
513,909,8061,-1
514,5057,11304,-1
515,10252,9206,1
516,1280,2065,1
517,6145,6987,-1
518,57,8912,1
519,4713,4058,1
520,2065,2545,-1
521,8089,3197,1
522,5052,6987,1
523,11797,11956,1
524,6063,8521,1
525,3209,1281,-1
526,11769,1403,1
527,5992,11403,1
528,1703,7176,-1
529,5675,10685,1
530,7481,7481,1
531,6810,619,1
532,5519,1553,1
533,2617,4020,-1
534,6527,514,1
535,7481,4125,-1
536,5057,2166,-1
537,5057,3879,-1
538,2532,2532,1
539,11178,3054,-1
540,5989,5670,-1
541,5057,157,-1
542,3039,3642,-1
543,11422,4739,-1
544,7846,5566,-1
545,2400,6250,-1
546,61,6059,1
547,909,9211,-1
548,433,869,1
549,5675,6600,1
550,5566,11666,1
551,9188,7522,-1
552,11570,7953,1
553,2617,2532,-1
554,4487,5637,1
555,755,6527,-1
556,3493,9283,1
557,10774,2617,1
558,1703,11518,1
559,3363,909,1
560,8496,4376,1
561,11422,10978,-1
562,1503,9454,1
563,8906,4572,1
564,5637,9693,1
565,5675,11288,1
566,8536,5090,-1
567,10763,7375,-1
568,11422,11422,-1
569,2574,4509,1
570,2532,6217,1
571,10774,10774,1
572,10252,9188,1
573,11867,5519,-1
574,7953,9188,1
575,2429,926,1
576,7104,5052,1
577,5579,5474,-1
578,6348,11912,1
579,3440,8595,1
580,11797,10892,-1
581,4787,6451,-1
582,10978,3942,-1
583,11675,11403,1
584,1292,9763,1
585,6987,9927,-1
586,8461,193,-1
587,6901,4739,-1
588,5579,11655,-1
589,2429,6145,1
590,5132,4693,-1
591,1276,2617,1
592,1221,11304,1
593,5992,8344,1
594,9313,9693,-1
595,8061,2053,1
596,7104,7836,-1
597,4804,4076,0
598,909,4270,1
599,909,8392,1
600,8392,9693,1
601,3493,869,-1
602,8392,3598,1
603,1711,4739,-1
604,4349,5670,-1
605,10194,9335,-1
606,10764,10764,-1
607,5675,9476,-1
608,909,9693,1
609,3412,864,-1
610,981,6507,1
611,11539,4693,-1
612,4487,4376,-1
613,3363,7176,-1
614,7602,11036,1
615,6810,6687,1
616,4810,9283,-1
617,10242,6154,1
618,9054,10366,1
619,5992,7677,1
620,2075,6394,-1
621,5138,11371,1
622,6394,489,-1
623,1532,11912,1
624,6348,942,-1
625,3271,57,-1
626,10194,11707,1
627,4694,974,1
628,10242,10562,-1
629,3440,2429,-1
630,3440,11570,1
631,1810,2532,1
632,6827,7104,1
633,11422,10952,-1
634,540,6002,1
635,1276,8943,-1
636,3209,5519,-1
637,1387,8943,1
638,3440,8943,1
639,8061,1868,-1
640,5057,9174,-1
641,8943,636,-1
642,3039,2544,-1
643,5013,5579,1
644,8906,4648,1
645,11288,10797,1
646,9042,12038,0
647,8661,8061,-1
648,10579,2335,0
649,5512,3069,1
