Character_1,Character_2,Win_Probability
10849,4448,0
8086,9747,-1
8086,9063,1
2888,6887,1
558,6775,1
2888,11910,1
558,4344,1
2888,1914,0
558,177,1
558,8086,1
684,5948,0
1014,5948,-1
3922,9969,0
5476,1055,-1
10302,10238,-1
8086,7292,1
558,2617,0
177,7826,-1
9522,7939,-1
11880,5548,-1
4850,10207,-1
10238,10207,-1
8093,11128,1
7445,1055,-1
1055,12051,0
6811,1055,0
9875,7971,1
2945,1851,-1
5207,4687,1
8901,7274,-1
8714,2899,1
2888,447,-1
9236,456,-1
2191,6811,-1
10849,616,-1
10035,2553,1
4496,2553,1
7821,4496,-1
10238,10363,-1
4850,11288,1
9875,10690,1
1914,10935,-1
11880,11724,-1
4921,9118,1
6164,9704,-1
6093,10121,1
558,7890,1
7826,7658,1
2340,1697,1
7821,9965,1
1112,9704,-1
1112,3368,1
6454,11772,1
4702,7292,1
4764,9850,1
11880,8796,-1
4921,11655,1
9704,7950,1
1502,6316,1
4869,10302,-1
1490,1,1
1490,10735,1
7445,11265,1
574,10238,1
9283,219,-1
4292,3277,-1
2888,5850,0
11880,3072,-1
8363,7472,1
9704,2553,1
1,10735,1
9730,1904,-1
9651,1490,1
10035,1904,1
7247,9730,1
5922,977,-1
8107,9663,-1
8901,11274,1
5956,3927,-1
3340,9060,1
10690,2899,1
1490,4193,1
4535,616,-1
12018,977,1
11299,12045,-1
10705,1050,-1
7066,5956,1
2331,9747,-1
3340,5956,1
2184,4869,0
2945,1851,1
5207,5988,1
1658,11655,-1
8086,5205,1
4069,55,-1
3730,3242,1
9795,4702,-1
7821,1812,1
8086,7602,-1
4564,4371,1
10035,804,1
4603,5548,1
6722,131,-1
5877,2408,1
1553,10207,-1
7001,11910,-1
1,4193,1
2885,9060,-1
4535,616,1
558,9060,-1
2888,6775,1
177,4869,1
6140,4687,1
7821,4687,1
11430,10994,1
2184,5956,1
2364,4850,-1
7821,3878,1
7762,1553,-1
5207,2184,-1
2364,9060,1
2367,10382,1
4603,9651,1
8613,1841,1
7066,11109,0
558,11880,1
558,8107,1
7247,10035,1
558,3340,-1
8415,10035,-1
2945,4869,-1
8086,1281,1
558,9704,1
2888,558,-1
6423,5849,0
2184,4200,-1
5451,11274,1
8757,9331,1
3818,1201,-1
785,9651,-1
184,10466,0
4869,2807,-1
2364,1357,1
5880,7894,1
456,616,-1
9704,1670,1
3878,11160,1
7947,2241,1
10498,11193,-1
7866,7274,-1
7939,6324,1
4791,1201,-1
4702,1055,1
9747,4687,1
2883,1074,1
9998,3477,1
6887,7567,-1
8672,1452,1
2883,1074,0
447,4852,1
6142,4552,1
6254,7247,-1
1112,4687,1
1112,9965,1
11879,9050,0
7717,7649,1
8974,3935,-1
1812,7292,0
8950,5070,-1
574,8697,1
10044,10276,1
5205,10910,-1
3143,977,1
4501,7487,0
8379,4632,1
1396,8845,-1
5336,1675,-1
5339,4074,1
12018,8615,1
7821,11910,1
280,6897,1
280,8531,1
6176,4575,1
558,6596,-1
5067,148,-1
8831,5067,1
10207,9331,-1
2888,4083,0
11877,2617,1
7266,7266,1
3290,5046,-1
6470,3382,-1
6317,5658,1
10207,8462,-1
10735,10207,-1
177,9924,0
7252,1573,1
6336,1014,1
5974,7649,-1
3482,1675,-1
10938,1451,1
9704,3730,1
5974,1694,1
3337,6454,-1
901,10796,1
473,6134,1
10441,7274,1
9283,7274,-1
8980,7274,-1
4850,7274,1
7960,1535,1
6938,1535,1
558,1386,-1
6958,6459,0
2484,11542,-1
8247,6192,1
10477,7274,-1
11193,11193,1
4702,5573,1
7766,5046,1
1281,8462,1
6142,4344,-1
6142,6938,-1
1150,2683,0
1658,2446,-1
3838,11320,1
11660,9839,-1
4448,11320,-1
6938,1502,-1
9331,6192,-1
6142,6192,-1
6142,9331,1
9331,9245,-1
6142,9245,-1
8980,7866,1
6142,8980,1
8379,3935,1
5877,3935,1
7274,325,1
3922,7274,1
8757,4198,1
9795,11193,-1
1967,2427,-1
2480,2427,-1
4603,616,-1
3212,6732,1
4795,2683,-1
11374,11594,1
11374,7425,1
9747,2617,1
4208,9094,1
5634,4208,0
1009,6946,-1
1914,5746,1
2484,7947,1
10274,1502,1
7960,7319,1
8757,6093,1
7939,2419,1
8188,3913,0
9063,10751,-1
11860,11540,1
6946,8314,1
10849,9577,-1
4702,8860,-1
11877,1860,-1
168,1860,-1
8757,11096,-1
325,7319,-1
8980,6671,-1
3277,11193,1
1914,2486,1
6093,1705,-1
9236,2888,0
1357,6805,-1
1967,1535,1
4380,10477,0
219,5638,1
3277,11552,-1
8613,5234,1
11193,623,1
6240,623,0
2011,623,-1
11185,2011,1
7965,3927,-1
8086,4934,1
3277,4200,-1
4850,11665,-1
10238,7203,1
558,11880,-1
9236,9894,1
2484,2241,1
4292,5207,-1
2647,4069,0
9457,4687,1
9704,4098,1
4098,11274,1
2888,558,-1
8205,9663,1
1396,9795,1
5451,12018,-1
3839,8931,-1
1682,3060,-1
9612,3060,-1
9612,11531,-1
9842,2839,1
2523,4544,-1
3735,4544,-1
131,5875,1
5721,8984,-1
7494,6362,1
47,8184,-1
7388,8394,1
11446,6028,1
5339,11446,-1
2429,10480,-1
9143,3519,-1
5971,3519,-1
1717,7036,1
4739,2106,1
8276,709,-1
6483,6744,1
10086,6655,1
1062,6655,-1
11578,2878,-1
7602,8480,1
4422,9631,1
10543,9631,-1
168,7388,1
47,1495,-1
8845,470,1
9704,470,1
567,9767,-1
10035,8756,-1
558,10960,-1
5395,4380,1
6524,10051,-1
4535,5589,1
4920,10609,-1
10911,10609,-1
5395,2031,1
10035,10825,1
597,10825,1
4921,10825,1
204,8563,-1
1924,3060,1
9109,3060,1
6640,7188,1
6283,7188,1
8883,5001,-1
995,7411,-1
11279,10084,-1
2536,9055,1
5576,9055,0
648,9055,-1
2888,9055,1
9055,2081,1
10110,9055,-1
5199,5971,1
5716,7808,-1
2041,11881,1
5119,6316,1
6611,2683,0
7527,6898,1
11631,6721,-1
11631,4552,1
7527,7946,-1
8107,10651,1
5323,7324,-1
8363,4249,-1
5556,9645,-1
7324,10754,-1
6721,6611,-1
5278,9730,1
8249,1490,-1
785,2683,-1
1526,6655,-1
8889,455,-1
4439,10480,-1
2429,10480,-1
2888,10480,-1
7066,5698,0
7408,6655,1
10655,6655,0
5278,7369,1
11023,6353,0
6965,11023,-1
1272,11023,1
4702,261,-1
5278,4031,1
2790,8844,1
1062,9694,-1
7808,3979,0
4014,7808,1
11384,8288,-1
2219,8288,0
11091,8288,-1
1337,8288,-1
3979,8288,-1
523,3979,0
422,3979,0
11578,9595,0
4687,9595,-1
5207,5323,1
8480,7808,0
2567,11091,1
2458,3165,0
3165,422,0
2461,8480,-1
5207,7324,1
5199,9143,1
9143,5971,1
8480,3004,-1
5716,3979,-1
523,11193,0
11843,9631,1
7602,3979,1
1921,3317,1
3004,3979,1
11578,7324,-1
10198,10543,-1
7324,2878,1
11560,3979,1
2866,6371,0
8480,1717,1
8107,11524,0
5673,9031,-1
3758,6641,-1
11368,8607,-1
558,631,1
3913,9292,-1
6723,8607,-1
9312,6298,1
11609,6722,1
10760,4896,-1
1291,11606,1
11880,903,1
11394,1751,-1
5139,9794,-1
1012,3164,-1
1493,658,-1
5498,8181,-1
1470,3980,1
12016,3688,-1
10284,9747,-1
3568,658,-1
7370,9957,0
11825,222,1
3891,7457,-1
9210,7539,-1
4535,4004,1
1066,1521,-1
8080,10053,-1
5614,6850,1
11877,4693,1
3319,5589,1
7833,5689,-1
8310,9292,1
4535,4318,1
1576,6791,1
3551,1385,-1
1179,226,-1
3175,5709,1
8796,3782,1
10334,7847,-1
9303,3540,1
2819,9285,1
11337,8607,1
381,6683,-1
4400,2954,-1
336,8607,-1
7838,9087,-1
11569,6883,1
5573,934,-1
1773,6791,1
7951,9803,-1
558,10877,-1
1840,7641,-1
11910,5328,1
4299,6925,-1
8104,521,1
7539,3449,1
1949,5328,0
9210,1305,-1
5415,10165,-1
9524,6988,1
3277,3761,1
8457,1301,-1
2568,5068,1
5523,10268,1
11552,4524,1
4186,567,1
9118,177,1
3879,11910,1
4496,1301,-1
8574,228,0
5909,5374,-1
11322,2611,1
3722,4728,0
11560,11129,0
2867,6866,0
5451,6140,-1
10849,336,1
4346,3030,0
61,11563,0
558,1305,0
3846,11411,0
6796,2961,0
5909,2331,1
6796,2077,-1
11458,2077,-1
2446,8607,-1
1305,2446,1
6742,1098,1
222,6683,-1
3409,3712,-1
3790,6548,-1
9690,1686,0
5525,8426,-1
8366,10899,0
4434,10067,0
1305,11910,0
8141,1409,1
4986,1478,0
5147,1991,0
10817,4434,0
2446,5298,-1
10849,9292,-1
1678,12078,1
2810,558,1
6589,7956,0
5463,10671,1
612,4948,1
6589,8607,0
9033,2691,1
11687,4515,-1
6775,1697,0
4133,6925,0
6867,1171,1
11825,3135,1
5709,2900,0
981,6630,0
7474,4515,1
10228,8651,-1
5247,11106,-1
5794,6543,-1
5356,5254,0
1357,5543,-1
8141,9031,1
7539,2819,-1
5962,1678,-1
10015,2446,-1
9033,5516,1
2941,7223,-1
1521,3537,1
226,4786,-1
6020,3072,-1
10044,9031,-1
11517,5197,-1
3262,7620,1
2340,9747,-1
567,8442,-1
2431,7620,-1
11609,1916,1
8514,6883,-1
1248,3636,-1
11343,11910,-1
4921,5709,1
3319,221,1
9747,6081,-1
529,4911,1
177,5977,-1
9842,285,0
1634,4461,1
11880,8213,0
5938,11965,-1
934,1301,-1
4786,948,1
9096,11732,1
5794,5378,-1
11030,2216,-1
11030,2216,1
1184,4186,-1
9031,9031,1
6881,948,1
2180,7152,-1
5123,8607,-1
3241,1658,-1
4464,2097,1
5925,1840,-1
3262,2496,0
9747,8962,-1
6866,8108,-1
1818,9181,1
9704,9788,1
5605,6883,1
7965,1737,1
4083,1784,-1
9457,6631,-1
6879,3439,1
1695,3340,0
4702,8205,0
3277,6008,1
7567,5414,1
177,3277,0
558,177,1
9747,4535,1
8177,4454,-1
9709,2546,1
818,5949,-1
9503,5197,-1
3435,10583,-1
11619,1498,1
7247,4650,1
2077,2963,1
6361,6641,-1
7940,11875,1
7302,1305,-1
2543,8107,-1
3090,11880,-1
1991,11394,0
6366,5977,0
9376,5298,1
11030,11812,1
5383,11910,1
5298,3541,-1
3409,8769,0
4500,668,1
10548,6373,1
9314,3349,-1
8080,7752,-1
11910,12,-1
10962,11141,1
9626,11183,1
8147,1012,-1
3250,6923,1
9846,5500,1
4012,4675,1
11880,2768,-1
11880,11877,-1
10697,1291,-1
6754,1886,-1
1305,1512,0
2677,7046,1
5298,668,0
10645,1296,-1
8201,11655,1
7965,937,0
222,8769,0
773,5279,-1
11584,7973,1
8188,695,-1
1515,3277,-1
4653,1470,0
82,6850,1
4687,3006,-1
5614,475,1
1305,4231,0
740,8518,-1
5523,4615,0
12016,6850,1
7503,7948,-1
6117,3568,0
381,10526,0
494,3219,-1
664,5068,1
3632,7884,-1
